"V1" "V2" "V3" "V4" "V5" "V6" "V7"
"1" -38.7167 -8.7167 0.307692307692308 0.343589743589744 0.348717948717949 0 0
"2" -38.7167 -8.69241155778894 0.307692307692308 0.346153846153846 0.346153846153846 0 0
"3" -38.7167 -8.66812311557789 0.312820512820513 0.341025641025641 0.346153846153846 0 0
"4" -38.7167 -8.64383467336683 0.31025641025641 0.343589743589744 0.346153846153846 0 0
"5" -38.7167 -8.61954623115578 0.307692307692308 0.346153846153846 0.346153846153846 0 0
"6" -38.7167 -8.59525778894472 0.307692307692308 0.346153846153846 0.346153846153846 0 0
"7" -38.7167 -8.57096934673367 0.312820512820513 0.343589743589744 0.343589743589744 0 0
"8" -38.7167 -8.54668090452261 0.31025641025641 0.343589743589744 0.346153846153846 0 0
"9" -38.7167 -8.52239246231156 0.312820512820513 0.348717948717949 0.338461538461538 0 0
"10" -38.7167 -8.4981040201005 0.323076923076923 0.341025641025641 0.335897435897436 0 0
"11" -38.7167 -8.47381557788945 0.320512820512821 0.343589743589744 0.335897435897436 0 0
"12" -38.7167 -8.44952713567839 0.320512820512821 0.343589743589744 0.335897435897436 0 0
"13" -38.7167 -8.42523869346734 0.323076923076923 0.343589743589744 0.333333333333333 0 0
"14" -38.7167 -8.40095025125628 0.320512820512821 0.343589743589744 0.335897435897436 0 0
"15" -38.7167 -8.37666180904523 0.320512820512821 0.348717948717949 0.330769230769231 0 0
"16" -38.7167 -8.35237336683417 0.320512820512821 0.346153846153846 0.333333333333333 0 0
"17" -38.7167 -8.32808492462311 0.320512820512821 0.346153846153846 0.333333333333333 0 0
"18" -38.7167 -8.30379648241206 0.323076923076923 0.343589743589744 0.333333333333333 0 0
"19" -38.7167 -8.27950804020101 0.320512820512821 0.343589743589744 0.335897435897436 0 0
"20" -38.7167 -8.25521959798995 0.325641025641026 0.338461538461538 0.335897435897436 0 0
"21" -38.7167 -8.23093115577889 0.325641025641026 0.343589743589744 0.330769230769231 0 0
"22" -38.7167 -8.20664271356784 0.325641025641026 0.346153846153846 0.328205128205128 0 0
"23" -38.7167 -8.18235427135678 0.330769230769231 0.346153846153846 0.323076923076923 0 0
"24" -38.7167 -8.15806582914573 0.330769230769231 0.346153846153846 0.323076923076923 0 0
"25" -38.7167 -8.13377738693467 0.330769230769231 0.343589743589744 0.325641025641026 0 0
"26" -38.7167 -8.10948894472362 0.335897435897436 0.338461538461538 0.325641025641026 0 0
"27" -38.7167 -8.08520050251256 0.333333333333333 0.343589743589744 0.323076923076923 0 0
"28" -38.7167 -8.06091206030151 0.341025641025641 0.338461538461538 0.320512820512821 0 0
"29" -38.7167 -8.03662361809045 0.346153846153846 0.330769230769231 0.323076923076923 0 0
"30" -38.7167 -8.0123351758794 0.341025641025641 0.333333333333333 0.325641025641026 0 0
"31" -38.7167 -7.98804673366834 0.333333333333333 0.343589743589744 0.323076923076923 0 0
"32" -38.7167 -7.96375829145729 0.335897435897436 0.341025641025641 0.323076923076923 0 0
"33" -38.7167 -7.93946984924623 0.338461538461538 0.338461538461538 0.323076923076923 0 0
"34" -38.7167 -7.91518140703518 0.335897435897436 0.335897435897436 0.328205128205128 0 0
"35" -38.7167 -7.89089296482412 0.330769230769231 0.338461538461538 0.330769230769231 0 0
"36" -38.7167 -7.86660452261306 0.335897435897436 0.338461538461538 0.325641025641026 0 0
"37" -38.7167 -7.84231608040201 0.341025641025641 0.335897435897436 0.323076923076923 0 0
"38" -38.7167 -7.81802763819095 0.335897435897436 0.338461538461538 0.325641025641026 0 0
"39" -38.7167 -7.7937391959799 0.325641025641026 0.341025641025641 0.333333333333333 0 0
"40" -38.7167 -7.76945075376884 0.317948717948718 0.343589743589744 0.338461538461538 0 0
"41" -38.7167 -7.74516231155779 0.328205128205128 0.338461538461538 0.333333333333333 0 0
"42" -38.7167 -7.72087386934673 0.330769230769231 0.335897435897436 0.333333333333333 0 0
"43" -38.7167 -7.69658542713568 0.325641025641026 0.341025641025641 0.333333333333333 0 0
"44" -38.7167 -7.67229698492462 0.320512820512821 0.335897435897436 0.343589743589744 0 0
"45" -38.7167 -7.64800854271357 0.325641025641026 0.330769230769231 0.343589743589744 0 0
"46" -38.7167 -7.62372010050251 0.325641025641026 0.335897435897436 0.338461538461538 0 0
"47" -38.7167 -7.59943165829146 0.328205128205128 0.328205128205128 0.343589743589744 0 0
"48" -38.7167 -7.5751432160804 0.333333333333333 0.328205128205128 0.338461538461538 0 0
"49" -38.7167 -7.55085477386935 0.335897435897436 0.335897435897436 0.328205128205128 0 0
"50" -38.7167 -7.52656633165829 0.343589743589744 0.330769230769231 0.325641025641026 0 0
"51" -38.7167 -7.50227788944724 0.358974358974359 0.317948717948718 0.323076923076923 0 0
