2	1	1	1	1	1
3	1	2	2	2	2
5	4	3	3	3	3
4	1	4	4	4	4
4	1	5	5	3	3
4	2	6	5	3	1
4	4	7	5	2	5
4	4	7	7	6	1
4	6	8	5	5	5
4	7	9	9	1	1
9	8	7	1	7	1
4	6	5	5	7	1
7	8	8	9	1	1
6	6	5	5	1	1
10	8	10	5	1	1
11	11	11	11	1	1
1	12	5	9	1	1
6	6	13	12	1	1
4	11	11	5	2	1
13	11	11	11	1	1
15	14	5	5	1	1
5	4	14	5	3	1
16	4	15	15	3	3
17	4	16	5	1	1
15	18	5	5	3	3
19	17	16	4	8	1
14	14	5	5	1	1
15	4	17	17	4	4
1	1	4	4	9	9
1	1	4	4	3	3
1	1	4	4	9	9
1	1	4	4	9	9
1	1	4	4	9	9
1	1	4	4	9	9
1	1	4	4	3	3
4	10	18	18	1	1
4	4	19	5	3	1
17	6	19	5	10	1
17	1	19	19	10	10
19	4	20	5	1	1
17	6	19	5	10	1
5	5	5	5	1	1
